Refextracted_Author_String,Harvard_Author_Format
"Smith J, 2020","Smith, J. (2020)"
"Johnson R & White K, 2019","Johnson, R. & White, K. (2019)"
Lee C et al 2018,"Lee, C. et al. (2018)"
"Green L, Brown S, Black P, 2021","Green, L., Brown, S. & Black, P. (2021)"
"Miller T. et al, 2022","Miller, T. et al. (2022)"
Davis A 2017,"Davis, A. (2017)"
Wilson E & Taylor H 2020,"Wilson, E. & Taylor, H. (2020)"
Thompson S et al. 2019,"Thompson, S. et al. (2019)"
Anderson J 2018,"Anderson, J. (2018)"
Murphy F and Newman G 2021,"Murphy, F. & Newman, G. (2021)"
"King R et al, 2017","King, R. et al. (2017)"
Phillips L 2020,"Phillips, L. (2020)"
Carter N & Lee M 2018,"Carter, N. & Lee, M. (2018)"
"Edwards C et al, 2020","Edwards, C. et al. (2020)"
"Baker T, James P, Khan Y 2022","Baker, T., James, P. & Khan, Y. (2022)"
Adams V 2019,"Adams, V. (2019)"
"Hall D and Evans T, 2018","Hall, D. & Evans, T. (2018)"
Morgan B et al. 2019,"Morgan, B. et al. (2019)"
Clarke G 2021,"Clarke, G. (2021)"
Ellis S & Martin J 2017,"Ellis, S. & Martin, J. (2017)"
"Turner N et al., 2022","Turner, N. et al. (2022)"
Jordan C 2018,"Jordan, C. (2018)"
Fisher L and Kelly W 2020,"Fisher, L. & Kelly, W. (2020)"
"Gray R et al, 2019","Gray, R. et al. (2019)"
Hughes M 2021,"Hughes, M. (2021)"
Roberts D & Cox F 2018,"Roberts, D. & Cox, F. (2018)"
"Wright T et al., 2020","Wright, T. et al. (2020)"
Bennett S 2019,"Bennett, S. (2019)"
"Moore H and Perry I, 2021","Moore, H. & Perry, I. (2021)"
Mason C et al. 2017,"Mason, C. et al. (2017)"
Reed N 2020,"Reed, N. (2020)"
Cook P & Butler S 2018,"Cook, P. & Butler, S. (2018)"
"Bailey T et al., 2019","Bailey, T. et al. (2019)"
Foster L 2021,"Foster, L. (2021)"
Spencer J & Murray K 2017,"Spencer, J. & Murray, K. (2017)"
"Gardner W et al., 2022","Gardner, W. et al. (2022)"
Nichols H 2018,"Nichols, H. (2018)"
Dixon R and Lopez V 2020,"Dixon, R. & Lopez, V. (2020)"
"Newman G et al, 2019","Newman, G. et al. (2019)"
Elliott C 2021,"Elliott, C. (2021)"
Russell T & Hughes B 2017,"Russell, T. & Hughes, B. (2017)"
"Austin K et al., 2020","Austin, K. et al. (2020)"
Webb M 2019,"Webb, M. (2019)"
"Riley P and Howard L, 2021","Riley, P. & Howard, L. (2021)"
Franklin J et al. 2017,"Franklin, J. et al. (2017)"
Zimmerman A 2020,"Zimmerman, A. (2020)"
Lawrence N & Gibson R 2018,"Lawrence, N. & Gibson, R. (2018)"
"McCormick E et al., 2019","McCormick, E. et al. (2019)"
Wallace G 2021,"Wallace, G. (2021)"
Buchanan T & Norton S 2017,"Buchanan, T. & Norton, S. (2017)"
"Fletcher J et al., 2022","Fletcher, J. et al. (2022)"
Dunn K 2018,"Dunn, K. (2018)"
Burton L and Franklin M 2020,"Burton, L. & Franklin, M. (2020)"
"Potter S et al, 2019","Potter, S. et al. (2019)"
Chase N 2021,"Chase, N. (2021)"
Coleman D & Andrews Q 2018,"Coleman, D. & Andrews, Q. (2018)"
"Andrews P, 2022","Andrews, P. (2022)"
"Burns S. & Harris A., 2018","Burns, S. & Harris, A. (2018)"
Cartwright J et al 2021,"Cartwright, J. et al. (2021)"
"Dean T, Ford W, Grant G, 2020","Dean, T., Ford, W. & Grant, G. (2020)"
"Edwards V. et al, 2023","Edwards, V. et al. (2023)"
Fisher A 2017,"Fisher, A. (2017)"
Grimes E & Hall T 2019,"Grimes, E. & Hall, T. (2019)"
Howard K et al. 2022,"Howard, K. et al. (2022)"
Ingram L 2018,"Ingram, L. (2018)"
Jackson M and Klein N 2021,"Jackson, M. & Klein, N. (2021)"
"Knight R et al, 2017","Knight, R. et al. (2017)"
Lloyd C 2020,"Lloyd, C. (2020)"
Mason D & Noble P 2018,"Mason, D. & Noble, P. (2018)"
"Norton F et al., 2019","Norton, F. et al. (2019)"
Osborne G 2021,"Osborne, G. (2021)"
Patton J & Quinn S 2017,"Patton, J. & Quinn, S. (2017)"
"Ramsey T et al., 2020","Ramsey, T. et al. (2020)"
Sanders L 2018,"Sanders, L. (2018)"
Taylor H and Vaughn K 2020,"Taylor, H. & Vaughn, K. (2020)"
"Underwood Q et al, 2019","Underwood, Q. et al. (2019)"
Walters J 2021,"Walters, J. (2021)"
Yates N & Zimmerman O 2018,"Yates, N. & Zimmerman, O. (2018)"
"Abbott M et al., 2022","Abbott, M. et al. (2022)"
Blake P 2019,"Blake, P. (2019)"
Carter R and Doyle L 2021,"Carter, R. & Doyle, L. (2021)"
"Dawson S et al, 2017","Dawson, S. et al. (2017)"
Ellis T 2020,"Ellis, T. (2020)"
Fowler J & Bryant I 2018,"Fowler, J. & Bryant, I. (2018)"
"Gibson K et al., 2019","Gibson, K. et al. (2019)"
Hayden L 2021,"Hayden, L. (2021)"
Irving N & Jasper M 2017,"Irving, N. & Jasper, M. (2017)"
"Kelly V et al., 2020","Kelly, V. et al. (2020)"
Lang D 2018,"Lang, D. (2018)"
Monroe P & Kelley T 2021,"Monroe, P. & Kelley, T. (2021)"
"Nichols J et al, 2017","Nichols, J. et al. (2017)"
O'Connor F 2020,"O'Connor, F. (2020)"
Pierce H & Rowan J 2018,"Pierce, H. & Rowan, J. (2018)"
"Quinn R et al., 2019","Quinn, R. et al. (2019)"
Reynolds N 2021,"Reynolds, N. (2021)"
Sharp L & Young B 2017,"Sharp, L. & Young, B. (2017)"
"Todd M et al., 2022","Todd, M. et al. (2022)"
Victor G 2018,"Victor, G. (2018)"
Walker I and Yorke J 2020,"Walker, I. & Yorke, J. (2020)"
"Alexander K et al, 2019","Alexander, K. et al. (2019)"
Barnes L 2021,"Barnes, L. (2021)"
Cooper M & Dennis N 2018,"Cooper, M. & Dennis, N. (2018)"
"Elliott P et al., 2017","Elliott, P. et al. (2017)"
Finch R 2020,"Finch, R. (2020)"
Gordon T & Harris P 2021,"Gordon, T. & Harris, P. (2021)"
"Harper S et al, 2018","Harper, S. et al. (2018)"
Isaac J 2019,"Isaac, J. (2019)"
Jackson W and Kramer E 2020,"Jackson, W. & Kramer, E. (2020)"
"Lawson H et al., 2022","Lawson, H. et al. (2022)"
"Adams B, Jones D, 2023","Adams, B. & Jones, D. (2023)"
"Bell A et al., 2019","Bell, A. et al. (2019)"
"Carter J, Smith L, 2020","Carter, J. & Smith, L. (2020)"
"Doyle M. et al, 2021","Doyle, M. et al. (2021)"
"Evans P, Thomas R, 2018","Evans, P. & Thomas, R. (2018)"
Flynn S 2022,"Flynn, S. (2022)"
Gibson U et al 2017,"Gibson, U. et al. (2017)"
"Hughes B, O'Neil T, 2023","Hughes, B. & O'Neil, T. (2023)"
"Irvine J et al., 2020","Irvine, J. et al. (2020)"
"Kaur I, Singh H, 2019","Kaur, I. & Singh, H. (2019)"
"Lawson R et al., 2021","Lawson, R. et al. (2021)"
"Murphy Q, 2020","Murphy, Q. (2020)"
"Nolan E, Wright Y, 2018","Nolan, E. & Wright, Y. (2018)"
"Patel V et al., 2022","Patel, V. et al. (2022)"
Quinn C 2017,"Quinn, C. (2017)"
"Robertson A and Kay J, 2021","Robertson, A. & Kay, J. (2021)"
"Sanders K et al., 2019","Sanders, K. et al. (2019)"
"Thompson M, 2020","Thompson, M. (2020)"
"Underwood S & Grant L, 2018","Underwood, S. & Grant, L. (2018)"
"Vaughan D et al., 2017","Vaughan, D. et al. (2017)"
Walters L 2021,"Walters, L. (2021)"
"Young N & Ashton F, 2019","Young, N. & Ashton, F. (2019)"
"Zimmer R et al., 2020","Zimmer, R. et al. (2020)"
Abbott N 2018,"Abbott, N. (2018)"
"Barrett M and Charles D, 2022","Barrett, M. & Charles, D. (2022)"
"Clinton J et al., 2019","Clinton, J. et al. (2019)"
Dean L 2017,"Dean, L. (2017)"
"Elliot M & Ford N, 2021","Elliot, M. & Ford, N. (2021)"
"Gaskell P et al., 2018","Gaskell, P. et al. (2018)"
Hart Q 2022,"Hart, Q. (2022)"
"Ingle R et al., 2017","Ingle, R. et al. (2017)"
"Johns S, Kemp T, 2020","Johns, S. & Kemp, T. (2020)"
"Kramer L et al., 2021","Kramer, L. et al. (2021)"
Lewis C 2019,"Lewis, C. (2019)"
"Mann B and Rich S, 2018","Mann, B. & Rich, S. (2018)"
"Norris D et al., 2022","Norris, D. et al. (2022)"
Owens J 2020,"Owens, J. (2020)"
"Preston E & Yule I, 2017","Preston, E. & Yule, I. (2017)"
"Rhodes K et al., 2019","Rhodes, K. et al. (2019)"
"Sinclair P, 2021","Sinclair, P. (2021)"
"Tate M & Lyle R, 2020","Tate, M. & Lyle, R. (2020)"
Young T 2018,"Young, T. (2018)"
"Zane W & Queen L, 2019","Zane, W. & Queen, L. (2019)"
"Acker B et al., 2023","Acker, B. et al. (2023)"
Baldwin C 2021,"Baldwin, C. (2021)"
"Colby D & East E, 2020","Colby, D. & East, E. (2020)"
"Duke F et al., 2019","Duke, F. et al. (2019)"
Eastman G 2020,"Eastman, G. (2020)"
"Foster H & Ames I, 2018","Foster, H. & Ames, I. (2018)"
"Gable J et al., 2017","Gable, J. et al. (2017)"
Haines K 2019,"Haines, K. (2019)"
"Isaacs L and Jules M, 2022","Isaacs, L. & Jules, M. (2022)"
"Kay N et al., 2020","Kay, N. et al. (2020)"
